H_VAL   H_STEP_SIZE 60 0.1
ROLL KP KI KD 8 0 6
PITCH KP KI KD 8 0 6
YAW KP KI KD 0 0 0
60 104.786 8.17064 175.267
60 104.9 7.77597 176.125
60 104.829 7.62035 176.883
60 104.77 8.40332 178.351
60 104.617 9.12748 178.921
60 104.617 9.12748 178.921
60 104.639 9.76518 178.102
60 104.638 9.83982 176.855
60 104.808 10.2417 175.98
60 105.017 10.782 175.954
60 105.206 10.2785 177.001
60 104.952 9.52225 178.185
60 104.728 9.25898 178.727
60 104.545 8.33827 179.19
60 104.489 6.39862 178.708
60 104.197 3.45418 179.491
60 104.26 2.00451 180.976
60 104.421 1.90794 182.781
60 104.265 2.26596 184.372
60 104.234 2.08256 185.539
60 104.193 0.898934 185.927
60 104.193 0.898934 185.927
60 104.193 0.898934 185.927
60 104.196 358.606 185.89
60 104.122 357.85 186.469
60 104.206 357.426 187.011
60 104.206 357.426 187.011
60 104.094 356.776 187.822
60 104.041 356.948 188.54
60 103.994 356.742 188.966
60 104.076 359.485 186.433
60 104.527 5.46901 181.761
60 104.601 12.0227 177.076
60 104.19 16.1812 171.958
60 103.817 16.7474 167.185
60 103.851 14.562 165.954
60 104.475 11.5186 168.191
60 105.193 9.77042 171.818
60 105.699 9.14266 176.541
60 105.789 8.79954 180.754
60 105.719 8.59413 181.609
60 105.389 8.84249 179.226
60 105.152 9.744 176.015
60 105.014 11.8662 172.542
60 104.841 14.2415 169.671
60 105.052 15.5877 169.052
60 105.469 14.9735 170.631
60 105.715 12.9732 172.618
60 105.844 10.3388 175.124
60 105.795 8.73177 177.24
60 105.66 8.94258 177.704
60 105.505 10.1005 176.993
60 105.19 11.1047 175.317
60 104.993 11.9797 173.509
60 104.86 12.653 172.431
60 104.86 12.653 172.431
60 105.805 13.7256 173.751
60 105.877 12.7611 175.351
60 105.759 11.0706 176.261
60 105.759 11.0706 176.261
60 105.455 9.47309 175.939
60 105.483 9.69045 175.239
60 105.483 9.69045 175.239
60 105.953 10.664 175.223
60 106.122 12.1119 175.574
60 106.122 12.1119 175.574
60 105.676 12.4873 175.742
60 105.676 12.4873 175.742
60 105.498 9.80257 175.469
60 105.498 9.80257 175.469
60 106.104 8.34032 175.632
60 106.104 8.34032 175.632
60 106.435 9.69048 176.054
60 106.435 9.69048 176.054
60 106.075 10.9124 176.411
60 105.93 11.1934 176.633
60 106.002 10.9119 175.84
60 106.002 10.9119 175.84
60 106.159 10.2682 175.345
60 106.385 9.14564 174.922
60 106.385 9.14564 176.023
60 106.564 8.28596 176.006
60 106.573 9.33265 176.925
60 106.425 10.3603 177.849
60 106.856 11.2615 175.885
60 106.695 10.7705 174.392
60 106.592 11.4364 173.157
60 106.224 12.5948 171.868
60 106.046 13.7548 170.99
60 105.833 13.7867 169.857
60 105.38 14.2394 168.022
60 105.175 15.3711 167.404
60 104.631 16.9088 165.928
60 104.441 17.8472 164.847
60 104.198 19.044 163.524
60 104.198 19.044 163.524
60 103.323 21.7029 162.572
60 103.323 21.7029 162.572
60 103.323 21.7029 162.572
60 102.504 21.0257 161.163
60 102.438 20.7395 160.152
60 102.518 21.5799 160.826
60 103.48 20.8705 163.752
60 104.951 17.2038 170.147
60 106.215 12.9727 176.928
60 106.777 9.40842 183.133
60 106.944 7.44023 186.367
60 106.84 7.93475 183.022
60 106.254 9.85008 177.043
60 105.83 11.7148 171.226
60 105.398 13.8965 166.276
60 105.197 16.051 163.748
60 105.776 17.1844 165.469
60 106.369 16.4061 169.289
60 106.758 14.1924 173.88
60 107.221 11.9435 178.37
60 107.298 10.056 180.698
60 107.035 8.80406 178.517
60 106.814 9.13108 175.041
60 106.598 10.6212 171.392
60 106.436 12.8618 168.416
60 107.317 16.0506 169.968
60 107.453 16.0396 172.848
60 107.187 15.7815 175.302
60 106.784 15.161 176.771
60 106.784 15.161 176.771
60 105.797 11.9319 174.004
60 105.576 9.97437 171.67
60 105.812 9.56399 169.559
60 107.046 12.8446 170.99
60 107.553 14.3814 173.662
60 107.806 15.3054 176.037
60 107.712 15.5304 177.351
60 107.712 15.5304 177.351
60 106.291 10.9695 172.53
60 106.121 9.51984 171.023
60 106.389 9.09593 170.41
60 106.389 9.09593 170.41
60 107.211 10.6901 172.867
60 107.687 11.9633 175.343
60 107.876 13.355 176.76
60 107.7 14.5449 177.501
60 107.149 14.9968 176.173
60 105.959 11.7963 171.13
60 105.932 10.0013 170.228
60 105.932 10.0013 170.228
60 107.011 8.98375 172.911
60 107.674 9.67839 175.54
60 108.015 10.9954 177.038
60 107.969 11.969 177.614
60 107.671 12.9903 176.091
60 107.287 13.6084 173.984
60 107.036 13.5562 172.376
60 106.937 12.2709 171.436
60 106.937 12.2709 171.436
60 107.1 9.77018 173.197
60 107.505 10.4857 174.852
60 107.836 12.7304 176.03
60 107.968 14.7261 176.604
60 107.703 14.9139 175.043
60 107.554 13.8157 173.101
60 107.369 12.773 171.058
60 107.298 12.9504 170.039
60 107.367 13.7788 171.218
60 107.464 12.6772 173.44
60 107.638 11.2342 175.224
60 107.663 10.7089 176.289
60 107.663 11.8363 176.123
60 107.453 13.5887 175.113
60 107.847 14.858 174.125
60 108.007 14.4235 173.086
60 108.141 12.7399 172.286
60 108.141 12.7399 172.286
60 108.258 10.8963 173.241
60 108.316 11.5503 174.28
60 108.274 11.7804 175.309
60 108.274 11.7804 175.309
60 107.996 11.985 175.626
60 107.869 12.1195 174.574
60 107.589 12.3623 173.06
60 107.71 13.4695 172.128
60 107.74 14.271 171.411
60 107.74 14.271 171.411
60 108.071 13.6349 172.646
60 108.122 12.562 173.881
60 107.959 11.3634 174.747
60 107.909 11.206 175.201
60 107.8 12.218 174.377
60 107.9 12.9663 173.608
60 107.833 13.1069 172.579
60 108.052 13.0265 172.073
60 108.055 13.5069 172.566
60 108.055 13.5069 172.566
60 107.8 13.7525 172.9
60 107.884 13.329 173.875
60 107.776 12.2217 173.08
60 108.006 12.0428 172.656
60 108.006 12.0428 172.656
60 108.056 12.9355 172.006
0 108.056 12.9355 172.006
0 108.045 12.9934 172.758
0 107.468 12.5866 173.373
0 107.023 11.8757 174.456
0 106.93 10.7852 175.108
0 107.562 9.89615 174.7
0 107.562 9.89615 174.7
0 108.159 9.3409 174.559
0 108.134 9.01321 174.038
0 86.0825 8.4818 175.098
0 86.0691 8.34709 176.311
0 85.8465 8.12869 177.12
0 86.2522 6.88295 178.773
0 86.1393 6.36649 178.916
0 86.1393 6.36649 178.916
0 86.0651 5.37831 179.539
0 85.7741 4.64226 179.769
0 85.7741 4.64226 179.769
0 85.6686 3.4052 180.13
0 85.6686 3.4052 180.13
0 85.6686 3.4052 180.13
0 85.6686 3.4052 180.13
0 85.6686 3.4052 180.13
0 85.2956 4.61383 180.435
0 85.2956 4.61383 180.688
0 85.2964 4.84594 180.688
0 85.2964 4.84594 180.688
0 85.6546 4.35836 180.817
0 85.6546 4.35836 180.817
0 85.1869 2.97449 180.694
0 85.1869 2.97449 180.694
0 85.1869 2.97449 180.694
0 85.1869 2.97449 180.851
0 85.6863 3.14041 180.851
0 85.6863 3.14041 180.851
